trial,mode,seed,cycles,burst_prob,burst_scale,drift_rate,noise_scale,shock_prob,shock_scale,admissions,denials,latch_events,first_latch_cycle,intervention_precision,resid_p95,resid_p99
31,scout_v2,245531,1777,0.10139746786057112,3.103872609650387,0.00665591802743424,0.11540278246754021,0.011779862228734034,6.160971942536809,218,1559,1559,0,0.5466666666666666,0.8,0.8
32,raw_v2,253450,1718,0.11660558948968687,3.493724944997566,0.018413834008043892,0.09133010977218103,0.010953195055888116,2.796863706272533,252,1466,1466,0,0.0,1.2290440326537728,1.562095293293656
32,scout_v2,253450,1718,0.11660558948968687,3.493724944997566,0.018413834008043892,0.09133010977218103,0.010953195055888116,2.796863706272533,252,1466,1466,0,0.5136612021857924,0.8,0.8
33,raw_v2,261369,1215,0.024296333174761396,4.313230183710232,0.018371326715038185,0.10344218225499727,0.016292383340163502,4.9865780227919405,179,1036,1036,0,0.0,1.1951153485301367,1.6523366289590666
33,scout_v2,261369,1215,0.024296333174761396,4.313230183710232,0.018371326715038185,0.10344218225499727,0.016292383340163502,4.9865780227919405,181,1034,1034,0,0.559748427672956,0.8,0.8
34,raw_v2,269288,1782,0.05457426826518026,3.674781497048987,0.007742401331291746,0.10714921073882301,0.007650957118830832,6.4876789061205375,252,1530,1530,0,0.0,1.2350531510243918,1.7644222630066553
34,scout_v2,269288,1782,0.05457426826518026,3.674781497048987,0.007742401331291746,0.10714921073882301,0.007650957118830832,6.4876789061205375,251,1531,1531,0,0.5787037037037037,0.8,0.8
35,raw_v2,277207,946,0.02909962694696159,4.313021464030588,0.008628455009175555,0.13969881113315558,0.011505146723572016,2.5950976762712417,87,859,859,0,0.0,1.3251418429647788,2.081387716925409
35,scout_v2,277207,946,0.02909962694696159,4.313021464030588,0.008628455009175555,0.13969881113315558,0.011505146723572016,2.5950976762712417,88,858,858,0,0.4811320754716981,0.8,0.8
36,raw_v2,285126,995,0.05700317385306922,3.4116358768340866,0.005156221302502786,0.1548902896459608,0.010594340763854355,6.605582485850617,65,930,930,0,0.0,1.421194974953847,2.2190613377573247
36,scout_v2,285126,995,0.05700317385306922,3.4116358768340866,0.005156221302502786,0.1548902896459608,0.010594340763854355,6.605582485850617,65,930,930,0,0.40217391304347827,0.8,0.8
37,raw_v2,293045,1277,0.09373385178975079,4.171679236666791,0.015876766562925634,0.03247823280281232,0.014316368562292415,5.966606900521713,271,1006,1006,0,0.0,1.047949546395228,1.207688658599029
37,scout_v2,293045,1277,0.09373385178975079,4.171679236666791,0.015876766562925634,0.03247823280281232,0.014316368562292415,5.966606900521713,272,1005,1005,0,0.5419847328244275,0.8,0.8
38,raw_v2,300964,1194,0.09163951167351607,4.227456872362627,0.01889219253292266,0.03817600690018016,0.019693321064945143,4.4568008696982755,250,944,944,0,0.0,1.0539405282350633,1.2594578364922182
38,scout_v2,300964,1194,0.09163951167351607,4.227456872362627,0.01889219253292266,0.03817600690018016,0.019693321064945143,4.4568008696982755,250,944,944,0,0.5454545454545454,0.8,0.8
39,raw_v2,308883,1620,0.11541641962180246,1.996531366289972,0.013530635100931044,0.0633862475204277,0.014877182582885876,5.949419652565887,310,1310,1310,0,0.0,1.1035769534612183,1.2369959044301266
39,scout_v2,308883,1620,0.11541641962180246,1.996531366289972,0.013530635100931044,0.0633862475204277,0.014877182582885876,5.949419652565887,315,1305,1305,0,0.6054054054054054,0.8,0.8
40,raw_v2,316802,842,0.015456245917958876,2.382685523782362,0.015009473727460271,0.10523279384315451,0.014510897806973691,3.192067855140724,120,722,722,0,0.0,1.1708188011506393,1.257544534783338
40,scout_v2,316802,842,0.015456245917958876,2.382685523782362,0.015009473727460271,0.10523279384315451,0.014510897806973691,3.192067855140724,120,722,722,0,0.5576923076923077,0.8,0.8
41,raw_v2,324721,775,0.03744734923549583,2.0127409340025197,0.012628983475285446,0.16070703042534615,0.013744214475223481,4.3370048025664385,46,729,729,0,0.0,1.3161730927463187,1.6081786301464103
41,scout_v2,324721,775,0.03744734923549583,2.0127409340025197,0.012628983475285446,0.16070703042534615,0.013744214475223481,4.3370048025664385,47,728,728,0,0.3287671232876712,0.8,0.8
42,raw_v2,332640,1172,0.019233755468463933,1.2005980596338293,0.015202308733576163,0.19175828236612283,0.016604003283168668,3.8995202530874717,23,1149,1149,0,0.0,1.3811906476533755,1.971863412937696
42,scout_v2,332640,1172,0.019233755468463933,1.2005980596338293,0.015202308733576163,0.19175828236612283,0.016604003283168668,3.8995202530874717,23,1149,1149,0,0.06666666666666667,0.8,0.8
43,raw_v2,340559,1570,0.042449514946005386,3.1310701189369583,0.010883025854477826,0.12486730862119401,0.017938754473044473,2.5846367033267037,169,1401,1401,0,0.0,1.2556314097148245,1.5172821500956952
43,scout_v2,340559,1570,0.042449514946005386,3.1310701189369583,0.010883025854477826,0.12486730862119401,0.017938754473044473,2.5846367033267037,171,1399,1399,0,0.543010752688172,0.8,0.8
44,raw_v2,348478,1067,0.0725697628127593,4.297246145078342,0.0032788641524454155,0.19037484214076125,0.010526392235883702,5.809424814542524,20,1047,1047,0,0.0,2.1232048109833315,2.9308149265429733
44,scout_v2,348478,1067,0.0725697628127593,4.297246145078342,0.0032788641524454155,0.19037484214076125,0.010526392235883702,5.809424814542524,20,1047,1047,0,0.08108108108108109,0.8,0.8
45,raw_v2,356397,1437,0.027092570343904485,3.113186697411848,0.01193777155047895,0.07156889992602661,0.00707295954149918,2.0901394318434896,276,1161,1161,0,0.0,1.1095706927898834,1.203130755109593
45,scout_v2,356397,1437,0.027092570343904485,3.113186697411848,0.01193777155047895,0.07156889992602661,0.00707295954149918,2.0901394318434896,274,1163,1163,0,0.5798816568047337,0.8,0.8
46,raw_v2,364316,1637,0.07727803329705982,4.174535898323525,0.005145797339135632,0.18388363259340512,0.016624421131237608,6.827678487605022,42,1595,1595,0,0.0,2.1421019693173866,3.1753457909435854
46,scout_v2,364316,1637,0.07727803329705982,4.174535898323525,0.005145797339135632,0.18388363259340512,0.016624421131237608,6.827678487605022,42,1595,1595,0,0.12987012987012986,0.8,0.8
47,raw_v2,372235,910,0.023304719761328162,4.2696616813631,0.008068413542120671,0.0730891388921793,0.00960538587389512,2.736771378305547,173,737,737,0,0.0,1.10516927644719,1.2194300901885267
47,scout_v2,372235,910,0.023304719761328162,4.2696616813631,0.008068413542120671,0.0730891388921793,0.00960538587389512,2.736771378305547,172,738,738,0,0.5959595959595959,0.8,0.8
48,raw_v2,380154,1400,0.11773980772056121,2.7084730874296445,0.01158518947479888,0.060309221870914906,0.004968075863810855,3.9461791617875335,263,1137,1137,0,0.0,1.1156933983131898,1.2700336903909202
48,scout_v2,380154,1400,0.11773980772056121,2.7084730874296445,0.01158518947479888,0.060309221870914906,0.004968075863810855,3.9461791617875335,265,1135,1135,0,0.5555555555555556,0.8,0.8
49,raw_v2,388073,924,0.050696884218357934,2.664012728114309,0.017100025088464973,0.06423070644386196,0.0021356526317041482,3.3161721213368534,172,752,752,0,0.0,1.0970808337365472,1.212272919768166
49,scout_v2,388073,924,0.050696884218357934,2.664012728114309,0.017100025088464973,0.06423070644386196,0.0021356526317041482,3.3161721213368534,174,750,750,0,0.5454545454545454,0.8,0.8
50,raw_v2,395992,1574,0.06707746346714226,3.4202757162957766,0.010274613262585813,0.07022716683185648,0.007688044234728962,5.542073479352605,276,1298,1298,0,0.0,1.112939031027937,1.3105864146059554
50,scout_v2,395992,1574,0.06707746346714226,3.4202757162957766,0.010274613262585813,0.07022716683185648,0.007688044234728962,5.542073479352605,275,1299,1299,0,0.524390243902439,0.8,0.8
51,raw_v2,403911,724,0.08021109353165883,2.0518397652247433,0.013809467874540753,0.17908138855628655,0.011929689120538958,4.967508355489474,17,707,707,0,0.0,1.3741406197250738,1.7762728956020801
51,scout_v2,403911,724,0.08021109353165883,2.0518397652247433,0.013809467874540753,0.17908138855628655,0.011929689120538958,4.967508355489474,17,707,707,0,0.0967741935483871,0.8,0.8
52,raw_v2,411830,1460,0.019068605255747127,1.3949442100259903,0.01014548594992598,0.06775099326256472,0.009012816732787957,5.175209441882448,270,1190,1190,0,0.0,1.098351056278417,1.1743605546222209
52,scout_v2,411830,1460,0.019068605255747127,1.3949442100259903,0.01014548594992598,0.06775099326256472,0.009012816732787957,5.175209441882448,270,1190,1190,0,0.5384615384615384,0.8,0.8
53,raw_v2,419749,821,0.10883992362985372,3.145732317746308,0.010201714984351039,0.15812197987983054,0.006240027946592499,4.391494082656186,52,769,769,0,0.0,1.6416701288628819,2.0279534498292575
53,scout_v2,419749,821,0.10883992362985372,3.145732317746308,0.010201714984351039,0.15812197987983054,0.006240027946592499,4.391494082656186,54,767,767,0,0.4358974358974359,0.8,0.8
54,raw_v2,427668,770,0.06783333559681172,2.08074715367146,0.005009533499535892,0.022403239820570738,0.010392624851318342,6.274771760694164,183,587,587,0,0.0,1.0226504467292348,1.059733557719146
54,scout_v2,427668,770,0.06783333559681172,2.08074715367146,0.005009533499535892,0.022403239820570738,0.010392624851318342,6.274771760694164,180,590,590,0,0.5,0.8,0.8
55,raw_v2,435587,995,0.014978511969677132,4.304773955381448,0.014015359108980148,0.08623387131707567,0.007645078683125872,6.8980462507868,162,833,833,0,0.0,1.1330046430639085,1.3106683283778089
55,scout_v2,435587,995,0.014978511969677132,4.304773955381448,0.014015359108980148,0.08623387131707567,0.007645078683125872,6.8980462507868,162,833,833,0,0.5339805825242718,0.8,0.8
56,raw_v2,443506,759,0.0386223289935769,1.2842323949910588,0.009616866133137936,0.12474796370118874,0.018294962137280126,3.355558792049494,80,679,679,0,0.0,1.2195578399872549,1.327574998261014
56,scout_v2,443506,759,0.0386223289935769,1.2842323949910588,0.009616866133137936,0.12474796370118874,0.018294962137280126,3.355558792049494,81,678,678,0,0.5054945054945055,0.8,0.8
57,raw_v2,451425,1398,0.030079105184990233,4.177162482478047,0.007441182196547949,0.11814015283954353,0.0015912191845222278,5.30892244275325,166,1232,1232,0,0.0,1.2128138965521833,1.6468350882024225
57,scout_v2,451425,1398,0.030079105184990233,4.177162482478047,0.007441182196547949,0.11814015283954353,0.0015912191845222278,5.30892244275325,167,1231,1231,0,0.5172413793103449,0.8,0.8
58,raw_v2,459344,1145,0.019129179579832296,2.5774533918767,0.017335036254608572,0.034029522042769995,0.005464145336069073,4.618705518210859,267,878,878,0,0.0,1.0331734941443034,1.0726599578329798
58,scout_v2,459344,1145,0.019129179579832296,2.5774533918767,0.017335036254608572,0.034029522042769995,0.005464145336069073,4.618705518210859,267,878,878,0,0.5210084033613446,0.8,0.8
59,raw_v2,467263,948,0.0986337440622362,2.3100747363040104,0.0021180376934160305,0.10895700357258822,0.016235623772620777,2.7522393392885345,123,825,825,0,0.0,1.244935187829078,1.4608957240235059
59,scout_v2,467263,948,0.0986337440622362,2.3100747363040104,0.0021180376934160305,0.10895700357258822,0.016235623772620777,2.7522393392885345,122,826,826,0,0.5257731958762887,0.8,0.8
60,raw_v2,475182,949,0.08254515951293769,2.161188115884495,0.0028353784974078813,0.0560692960345808,0.0003812649553849856,4.8626715120604285,193,756,756,0,0.0,1.073491849573245,1.1231569576501426
60,scout_v2,475182,949,0.08254515951293769,2.161188115884495,0.0028353784974078813,0.0560692960345808,0.0003812649553849856,4.8626715120604285,193,756,756,0,0.5566037735849056,0.8,0.8
61,raw_v2,483101,1640,0.0867327679039057,2.7355427020366174,0.0026188560032966036,0.10834291173743688,0.007188020503634254,4.385297446118502,219,1421,1421,0,0.0,1.2212193322412779,1.5529491092475483
61,scout_v2,483101,1640,0.0867327679039057,2.7355427020366174,0.0026188560032966036,0.10834291173743688,0.007188020503634254,4.385297446118502,218,1422,1422,0,0.531578947368421,0.8,0.8
62,raw_v2,491020,809,0.03180949206408789,2.5784493860621716,0.007102749036654479,0.08692212274491554,0.01126397759621753,6.408355618316413,131,678,678,0,0.0,1.1411254866756377,1.3176522685827303
